ime,category
"rear of tube",breech
slaver,slaveholder
slavey,skivvy
monitor,proctor
monitor,admonisher
"oyster fungus","oyster mushroom"
"sea onion","sea squill"
"sea onion","spring squill"
"clinker brick",clinker
craftsmanship,craft
"department of English","English department"
"Jean de La Fontaine","La Fontaine"
"Campanula rotundifolia",harebell
compactness,concentration
sheikh,sheik
occurrent,happening
immunisation,immunization
egocentrism,egoism
"nursing home",home
"Pinus monophylla",single-leaf
"modern man","Homo sapiens sapiens"
"reasoning by elimination",elimination
"acute organic brain syndrome","acute brain disorder"
"anonymous file transfer protocol","anonymous ftp"
"grazing land",pasture
"wire grass","broom beard grass"
"wire grass",yardgrass
"ballistic capsule",spacecraft
"blue African lily","African lily"
"titanic oxide","titanium dioxide"
"minor role","bit part"
dramatisation,dramatization
"citrophilus mealybug","citrophilous mealybug"
"Percina tanasi","snail darter"
"Shumard red oak","Shumard oak"
cleanser,"cleansing agent"
"vaginal birth",childbirth
"bronco buster",buster
whooper,"whooping crane"
gaffer,old-timer
gaffer,foreman
sulfamezathine,sulfamethazine
"Egretta caerulea","little blue heron"
poudrin,"ice crystal"
disorderliness,rowdiness
disorderliness,disarray
eclecticist,eclectic
looter,plunderer
"butternut tree",butternut
creeper,crawler
subroutine,routine
"Rhododendron californicum","coast rhododendron"
abortion,miscarriage
comradery,chumminess
"Lobularia maritima","sweet alyssum"
"photo op","photo opportunity"
"snap line","chalk line"
coiffure,hairdo
"basal temperature","basal body temperature"
"surgical procedure",operation
"account statement",account
interbreeding,hybridization
interbreeding,miscegenation
"paving material",paving
unctuousness,fulsomeness
tughrik,tugrik
"Chamaea fasciata",wren-tit
dresser,"chest of drawers"
dresser,"dressing table"
secretiveness,closeness
secretiveness,secrecy
irreality,unreality
"Tomistoma schlegeli","false gavial"
apothecary,pharmacist
"Baptisia tinctoria","indigo broom"
loincloth,breechcloth
panetella,panatela
bestower,donor
"office block","office building"
"book binding",binding
thunderbolt,bombshell
"Mola lanceolata","sharptail mola"
"scrutin de liste","list system"
"border district",borderland
non-involvement,non-engagement
"snake fence","worm fence"
objector,dissenter
formation,constitution
formation,"geological formation"
peeling,desquamation
regret,sorrow
"heart massage","cardiac massage"
"packed cell volume",hematocrit
"tent flap",tent-fly
initiate,novice
"Vulpes macrotis","kit fox"
shnook,schnook
"spiny lizard","mountain devil"
"rydberg unit",rydberg
"Sphecius speciosis","cicada killer"
"telephone dial",dial
"flight indicator","artificial horizon"
totalisator,"pari-mutuel machine"
nonage,minority
phlebotomy,venesection
"Kamehameha the Great","Kamehameha I"
gyration,rotation
"pipe organ",organ
vacancy,void
dirtying,soiling
unwieldiness,awkwardness
maxillary,"upper jaw"
leucoma,leukoma
"oyster agaric","oyster mushroom"
nonpareil,ideal
unconcern,nonchalance
insinuation,ingratiation
ululation,howl
"Halicoeres bivittatus","slippery dick"
dieting,diet
"state attorney","state's attorney"
"strain gage","strain gauge"
"disagreeable person","unpleasant person"
wattage,"electrical power"
fumbler,bungler
"Mustela frenata","longtail weasel"
rivet,stud
"Onoclea struthiopteris","ostrich fern"
"Portuguese cypress","Mexican cypress"
"Fritillaria lanceolata","mission bells"
"heath hen",greyhen
"full general",general
"prothrombin accelerator",proaccelerin
"chimney bellflower","chimney plant"
"black apricot","purple apricot"
flimflam,bunco
taekwondo,"tae kwon do"
strikebreaker,scab
compaction,crush
"Xenopus laevis","African clawed frog"
bushbaby,galago
binding,dressing
binding,"ski binding"
"high fashion","haute couture"
campong,kampong
"Cucurbita argyrosperma",cushaw
"Rubus loganobaccus",loganberry
servant,handmaid
"atmospheric condition",weather
"scutch grass","Bermuda grass"
resplendency,glory
"secret plan",plot
resplendence,glory
semiparasite,hemiparasite
kettledrum,kettle
anaesthetic,anesthetic
promptness,punctuality
testate,testator
seppuku,harakiri
"major-league club","major-league team"
epiphyte,"air plant"
countlessness,innumerableness
"page-at-a-time printer","page printer"
"Dactyloctenium aegypticum","Egyptian grass"
frock,dress
"Astragalus alpinus","alpine milk vetch"
edifice,building
transference,transfer
lighter,igniter
lighter,barge
"Jacquinia keyensis",barbasco
"Tichodroma muriaria","wall creeper"
"line engraving",linecut
"Vangueria infausta","wild medlar"
"ring dance","round dance"
"Cordyline australis","cabbage tree"
"Salvia azurea","blue sage"
"Ophrys apifera","bee orchid"
"Crataegus pedicellata","red haw"
indicant,indication
indicant,index
pyroscope,"optical pyrometer"
privilege,prerogative
railwayman,trainman
tinge,touch
tinge,undertone
easement,easing
heller,haler
heller,hellion
clarinettist,clarinetist
"Salvadoran capital","San Salvador"
"voix celeste","vox angelica"
curtness,abruptness
"buck private",private
"dwarf buffalo",anoa
"kauri gum",kauri
"skittle pin",ninepin
"cone cell",cone
revivalist,evangelist
complementation,"complementary distribution"
"grievous bodily harm",soap
blackness,black
blackness,"total darkness"
fatigue,"fatigue duty"
vascularisation,vascularization
"Verey pistol","Very pistol"
scooter,"water scooter"
scooter,"motor scooter"
scooter,iceboat
scooter,scoter
"Kentucky wonder bean","Kentucky wonder"
anaplasty,"plastic surgery"
prestidigitator,magician
"nut grass",nutgrass
shrieking,scream
shrieking,screech
disengagement,detachment
airwoman,aviatrix
"nuclear warhead","atomic warhead"
mujahedin,mujahidin
straits,pass
cocotte,prostitute
"milling machinery",mill
expiration,termination
expiration,passing
expiration,exhalation
"Eamon de Valera","de Valera"
pervasion,permeation
trainmaster,yardmaster
"automatic weapon","automatic firearm"
"century plant",agave
"silk screen print",silkscreen
"video display",display
"Ailuropoda melanoleuca","giant panda"
pyrexia,fever
"narrow-leaved bottletree","Queensland bottletree"
front,battlefront
front,"front man"
front,presence
front,movement
"ethmoid bone",ethmoid
oilrig,"drill rig"
frost,freeze
froth,foam
antecedent,ancestor
"Physalis alkekengi","Chinese lantern plant"
"almond crescent","almond cookie"
strings,"string section"
"jeune fille",lass
"speech rhythm",rhythm
"string bass","bass fiddle"
antiepileptic,anticonvulsant
flooding,"implosion therapy"
marching,march
"imperfective aspect",imperfective
margin,"gross profit"
margin,allowance
"Habenaria lacera","ragged orchid"
necromancer,sorcerer
"violent disorder",rampage
coelom,celom
"walking on air",bliss
"beggar-my-neighbor strategy","beggar-my-neighbor policy"
infolding,invagination
"US Fish and Wildlife Service","United States Fish and Wildlife Service"
"official document","legal document"
"icing the puck",icing
"Spartina pectinmata","prairie cordgrass"
"champagne flute",flute
"pin grass","redstem storksbill"
tumbleweed,"Russian thistle"
tumbleweed,"winged pigweed"
"penny grass","field pennycress"
"self-raising flour","self-rising flour"
footer,pedestrian
footer,footnote
"Sphyrapicus varius ruber","red-breasted sapsucker"
"floral cup",hypanthium
determination,decision
yielder,surrenderer
aesthete,esthete
bawling,wailing
"crepe myrtle","crape myrtle"
hasheesh,hashish
"stamping mill","stamp mill"
waterworks,"water company"
"peanut vine",peanut
bearer,carrier
bearer,pallbearer
bearer,holder
"silver gray","ash grey"
"station waggon","beach wagon"
"Solanum nigrum","black nightshade"
tepidity,lukewarmness
entryway,entrance
"Xylaria polymorpha",dead-man's-fingers
"food turner",turner
smallness,pettiness
"flowering stone",lithops
"H. pylori","Heliobacter pylori"
arccosine,"arc cosine"
